workerid	relevant_adjective_id	relevant_adjective	text	correct2	slide_number	correct1	predicate2	predicate1	response
0	0	NA	NA	0.85	4	0.8	NA	NA	0.97
0	1	NA	NA	0	5	0	NA	NA	0.07
0	0	NA	NA	0.3	6	0.8	NA	NA	0.93
0	1	NA	NA	1	7	1	NA	NA	0.95
0	0	NA	NA	0.2	8	0.95	NA	NA	0.53
0	0	NA	NA	0.2	9	0.95	NA	NA	0.32
0	1	NA	NA	1	10	1	NA	NA	0.98
0	1	NA	NA	1	11	1	NA	NA	0.98
0	0	NA	NA	0.3	12	0.5	NA	NA	0.72
0	NA	blue	I like ships that have the same color as I have, like this...	NA	14	NA	physs	blue	0.94
0	NA	physs	My first ship had the same shape as this...	NA	15	NA	physs	red	0.91
0	NA	NONE	On our planet, many aliens fly ships like this...	NA	16	NA	green	physs	0.11
0	NA	blue	What a nice color. I like flying this...	NA	17	NA	blue	scrib	0.12
0	NA	scrib	I really don&quotechart like ships like this...	NA	18	NA	physs	scrib	0.16
0	NA	physs	Humans think all of our ships look like rockets, like this...	NA	19	NA	physs	blue	0.88
0	NA	NONE	My friend used to fly this...	NA	20	NA	blue	scrib	0.08
0	NA	scrib	You like it? Wow, I hate flying this...	NA	21	NA	blue	scrib	0.12
0	NA	physs	For long distances, I use rockets. The best one is this...	NA	22	NA	red	physs	0.15
0	NA	scrib	Wow, such a nice ship &#8210; I like this...	NA	23	NA	scrib	blue	0.93
0	NA	scrib	The more teleporters, the better. My favorite one is this...	NA	24	NA	scrib	physs	0.98
0	NA	NA	NA	NA	26	NA	big	physs	0.06
0	NA	NA	NA	NA	27	NA	blue	small	0.98
0	NA	NA	NA	NA	28	NA	big	scrib	0.09
0	NA	NA	NA	NA	29	NA	physs	red	0.94
0	NA	NA	NA	NA	30	NA	physs	small	0.99
0	NA	NA	NA	NA	31	NA	physs	blue	0.94
0	NA	NA	NA	NA	32	NA	green	physs	0.09
0	NA	NA	NA	NA	33	NA	red	small	0.98
0	NA	NA	NA	NA	34	NA	scrib	red	0.96
0	NA	NA	NA	NA	35	NA	small	scrib	0.04
0	NA	NA	NA	NA	36	NA	physs	scrib	0.06
0	NA	NA	NA	NA	37	NA	scrib	blue	0.95
0	NA	NA	NA	NA	38	NA	scrib	green	0.95
0	NA	NA	NA	NA	39	NA	red	big	0.95
1	0	NA	NA	0.2	4	0.95	NA	NA	0
1	0	NA	NA	0.3	5	0.8	NA	NA	0
1	1	NA	NA	1	6	1	NA	NA	0.8
1	0	NA	NA	0.2	7	0.95	NA	NA	0.14
1	0	NA	NA	0.3	8	0.5	NA	NA	0.54
1	1	NA	NA	1	9	1	NA	NA	1
1	1	NA	NA	1	10	1	NA	NA	0.54
1	0	NA	NA	0.85	11	0.8	NA	NA	0.87
1	1	NA	NA	0	12	0	NA	NA	0.2
1	NA	kolch	Humans think all of our ships look like saucers, like this...	NA	14	NA	green	kolch	0.75
1	NA	green	I like ships that have the same color as I have, like this...	NA	15	NA	green	kolch	0.22
1	NA	broff	Wow, such a nice ship &#8210; I like this...	NA	16	NA	broff	green	0.31
