workerid	predicate2	predicate1	response	slide_number
0	red	cref	0	4
0	red	olm	0	5
0	cref	big	1	6
0	cref	small	1	7
0	olm	cref	1	8
0	cref	blue	1	9
0	cref	olm	1	10
0	olm	blue	0.92	11
0	small	olm	0	12
0	big	olm	0	13
1	small	lann	0.16	4
1	small	twell	0.18	5
1	twell	blue	1	6
1	red	lann	0	7
1	red	twell	0.21	8
1	lann	big	0.99	9
1	blue	lann	0	10
1	twell	lann	0	11
1	twell	big	1	12
1	lann	twell	0.54	13
2	olm	green	0.87	4
2	twell	small	1	5
2	blue	olm	0	6
2	olm	big	0.86	7
2	olm	twell	0.95	8
2	twell	blue	0.1	9
2	twell	olm	0.03	10
2	twell	green	0.15	11
2	small	olm	0	12
2	big	twell	0.1	13
3	lann	red	1	4
3	twell	small	1	5
3	green	lann	0	6
3	green	twell	0	7
3	twell	big	0	8
3	twell	red	1	9
3	big	lann	0	10
3	lann	twell	1	11
3	small	lann	0	12
3	lann	twell	1	13
4	small	muic	0.03	4
4	twell	blue	0	5
4	muic	twell	1	6
4	big	twell	0	7
4	big	muic	0	8
4	muic	red	1	9
4	muic	blue	1	10
4	twell	small	1	11
4	red	twell	1	12
4	muic	twell	1	13
5	olm	small	0.89	4
5	big	olm	0.05	5
5	cref	small	0.91	6
5	olm	red	0.98	7
5	olm	cref	0.9	8
5	olm	cref	0.94	9
5	cref	blue	0.86	10
5	cref	red	0.99	11
5	big	cref	0.02	12
5	blue	olm	0	13
6	small	twell	0.02	4
6	olm	big	0.98	5
6	twell	blue	0.92	6
6	small	olm	0.04	7
6	blue	olm	0.02	8
6	big	twell	0.05	9
6	green	olm	0.04	10
6	twell	olm	0.97	11
6	green	twell	0.01	12
6	olm	twell	0.01	13
7	lann	blue	0.74	4
7	muic	small	0.73	5
7	muic	lann	0.7	6
7	red	muic	0.22	7
7	lann	big	0.76	8
7	small	lann	0.23	9
7	big	muic	0.18	10
7	muic	blue	0.77	11
7	lann	muic	0.24	12
7	red	lann	0.23	13
8	twell	big	0.73	4
8	twell	olm	0.68	5
8	olm	small	0.66	6
8	red	olm	0.75	7
8	green	olm	0.7	8
8	small	twell	0.16	9
8	red	twell	0.21	10
8	olm	big	0.75	11
8	olm	twell	0.18	12
8	twell	green	0.78	13
