workerid	language	enjoyment	gender	age	suggested_pay	comments	adjective1	asses	adjective2	condition
0	English	2	Male	35	0.25	n/a
	lann	Yes	twell	0
1	English	2	Male	75	0.25	interesting survey	lann	Yes	twell	0
2	English	2	Female	86	.30	interesting	cref	Yes	muic	0
3	english	1	Female	36	.40		olm	Yes	twell	0
4	English 	1	Male	34	.25		lann	Yes	twell	0
5	english	1	Male	44	.35	Thanks for the opportunity to participate; good luck with your research!	cref	Yes	lann	0
6	English	1	Female	51	0.25	No comments	twell	Yes	lann	0
7	English	2	Female	39	0.25		cref	Yes	muic	0
8	english	1	Female	54	.25	Fun and easy Thanks	cref	Yes	olm	0
